证券代码,证券简称,综合评级,年度,综合得分,E评级,E得分,S评级,S得分,G评级,G得分
000810.SZ,创维数字,B,2009,70.4,C,51.14,CCC,65.61,BBB,83.46
000811.SZ,冰轮环境,B,2009,71.41,C,57.45,CC,62.91,BBB,84.28
000812.SZ,陕西金叶,CCC,2009,68.71,C,50.5,CC,64.8,BBB,80.64
000813.SZ,德展健康,B,2009,70.59,C,55.69,CC,64,BBB,82.64
000815.SZ,美利云,CCC,2009,69.92,CC,60.98,C,59.06,BBB,81.82
000816.SZ,智慧农业,CCC,2009,69.73,C,55.88,CC,61.77,BBB,82.17
000818.SZ,航锦科技,CC,2009,64.83,C,59.25,CC,64.8,CCC,67.7
000819.SZ,岳阳兴长,BB,2009,76.1,CC,63.39,CCC,69.12,A,87.29
000820.SZ,神雾节能,CCC,2009,68.69,C,59.19,CCC,67.84,B,74.12
000821.SZ,京山轻机,CCC,2009,69.48,C,57.61,C,53.04,A,86.63
